epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1567.81,0.9738,1.63549,1.04076,0.9093,0.82244,0.88154,0.91652,0.80041,0.81353,0.87753,0.91209,0.68615,0.54768,0.96614,0.73937,0.80984,0.000264253,0.000264253,0.000264253
76,1588.53,1.00592,1.70607,1.04616,0.91871,0.84211,0.87262,0.92949,0.79693,0.83849,0.86883,0.92555,0.70539,0.61186,0.99877,0.71534,0.81978,0.000262189,0.000262189,0.000262189
77,1609.01,0.98659,1.61869,1.03811,0.91031,0.8722,0.89256,0.93625,0.80983,0.8722,0.89256,0.93625,0.69231,0.56158,0.96329,0.6858,0.81051,0.000260125,0.000260125,0.000260125
78,1629.42,0.94441,1.56948,1.01598,0.91421,0.83346,0.89921,0.92927,0.80863,0.83474,0.89517,0.92576,0.70397,0.55578,0.9352,0.69558,0.81163,0.00025806,0.00025806,0.00025806
79,1650.23,1.00105,1.64822,1.03921,0.927,0.88591,0.89421,0.95844,0.83936,0.88371,0.89231,0.9547,0.71993,0.55902,0.99445,0.6661,0.80725,0.000255996,0.000255996,0.000255996
80,1671.27,0.9465,1.59001,1.00428,0.90608,0.86315,0.87702,0.94338,0.81932,0.86194,0.87443,0.94003,0.68575,0.55548,0.969,0.68,0.80754,0.000253932,0.000253932,0.000253932
81,1692.32,0.9513,1.57617,0.99864,0.90385,0.87643,0.88536,0.95593,0.8378,0.87554,0.88216,0.95195,0.72291,0.52876,0.96651,0.65693,0.80435,0.000251868,0.000251868,0.000251868
82,1713.06,0.97981,1.6017,1.02354,0.91595,0.86342,0.89242,0.94624,0.82435,0.86499,0.89133,0.94301,0.71318,0.54187,0.93561,0.66717,0.80729,0.000249804,0.000249804,0.000249804
83,1734.04,0.95444,1.57215,0.99314,0.90372,0.91082,0.9335,0.96454,0.84775,0.90876,0.93226,0.9617,0.72692,0.54244,0.97542,0.63319,0.80827,0.00024774,0.00024774,0.00024774
84,1754.53,0.92491,1.51525,0.96232,0.90231,0.90587,0.93199,0.96514,0.85165,0.90233,0.92133,0.96028,0.71734,0.52393,0.92689,0.62971,0.80472,0.000245676,0.000245676,0.000245676
85,1774.85,0.94078,1.55818,0.98355,0.90366,0.90052,0.89177,0.95301,0.83649,0.8982,0.88714,0.94929,0.71897,0.53227,0.94071,0.63149,0.80419,0.000243611,0.000243611,0.000243611
86,1795.24,0.93683,1.54333,0.97762,0.90701,0.90283,0.90459,0.95534,0.83957,0.90283,0.90459,0.95534,0.74227,0.53729,0.92733,0.62499,0.80616,0.000241547,0.000241547,0.000241547
87,1816.28,0.92335,1.53483,0.95696,0.89724,0.86307,0.88607,0.93918,0.82604,0.86307,0.88607,0.93907,0.71132,0.53383,0.9513,0.65235,0.80667,0.000239483,0.000239483,0.000239483
88,1837.88,0.94262,1.55962,0.97579,0.91123,0.9022,0.92676,0.96844,0.84847,0.90034,0.92487,0.96668,0.7347,0.53879,0.94934,0.60261,0.8083,0.000237419,0.000237419,0.000237419
89,1858.72,0.92192,1.54331,0.95764,0.89996,0.87402,0.87758,0.94205,0.82246,0.87219,0.87568,0.9381,0.70621,0.54885,0.94445,0.65272,0.80756,0.000235355,0.000235355,0.000235355
90,1879.12,0.97213,1.59151,0.97908,0.90838,0.92622,0.94045,0.97251,0.84534,0.92564,0.93089,0.96941,0.72487,0.55945,0.91763,0.59675,0.81123,0.000233291,0.000233291,0.000233291
91,1899.14,0.93325,1.54987,0.96225,0.89929,0.89233,0.92654,0.96602,0.84162,0.89052,0.92464,0.96425,0.71963,0.54238,0.92237,0.6051,0.80717,0.000231226,0.000231226,0.000231226
92,1920.02,0.91268,1.50869,0.94505,0.90748,0.909,0.91989,0.96194,0.84344,0.90704,0.91799,0.95876,0.7285,0.54383,0.93015,0.62715,0.80576,0.000229162,0.000229162,0.000229162
